SourceTextTitle,SourceTextCode,EventID,StartDate,EndDate
"Absalom, Absalom!",AA,16175,1865-01-01 , 1865-02-28
"Absalom, Absalom!",AA,16177,1865-03-02 , 1865-03-31
"Absalom, Absalom!",AA,16178,1865-03-02 , 1865-03-31
"Absalom, Absalom!",AA,16179,1865-04-01 , 1865-04-30
"Absalom, Absalom!",AA,16180,1909-09-06,1909-09-06
"Absalom, Absalom!",AA,16183,1865-04-01 , 1865-04-30
"Absalom, Absalom!",AA,16184,1865-04-01 , 1865-04-30
"Absalom, Absalom!",AA,16185,1865-04-01 , 1865-04-30
"Absalom, Absalom!",AA,16186,1865-04-02 , 1865-04-30
"Absalom, Absalom!",AA,16188,1865-05-03,1865-05-03
"Absalom, Absalom!",AA,16189,1910-01-14,1910-01-14
"Absalom, Absalom!",AA,16191,1910-01-14,1910-01-14
"Absalom, Absalom!",AA,16192,1909-09-06,1909-09-06
"Absalom, Absalom!",AA,16193,1909-09-06,1909-09-06
"Absalom, Absalom!",AA,16197,1909-09-06,1909-09-06
"Absalom, Absalom!",AA,16202,1909-09-06,1909-09-06
"Absalom, Absalom!",AA,16211,1909-09-06,1909-09-06
"Absalom, Absalom!",AA,16214,1910-01-14,1910-01-14
"Absalom, Absalom!",AA,16215,1909-12-26 , 1909-12-27
"Absalom, Absalom!",AA,16218,1909-12-26 , 1909-12-27
"Absalom, Absalom!",AA,16219,1909-12-26 , 1910-01-08
"Absalom, Absalom!",AA,16223,1910-01-14,1910-01-14
"Absalom, Absalom!",AA,16246,1909-09-06,1909-09-06
"Absalom, Absalom!",AA,22378,1817-01-01 , 1817-12-31
"Absalom, Absalom!",AA,15494,1833-06-01 , 1833-06-30
"Absalom, Absalom!",AA,15499,1909-09-06,1909-09-06
"Absalom, Absalom!",AA,15501,1909-09-06,1909-09-06
"Absalom, Absalom!",AA,15507,1833-06-01 , 1838-12-31
"Absalom, Absalom!",AA,15508,1838-01-01 , 1838-12-31
"Absalom, Absalom!",AA,15521,1866-04-01 , 1866-04-30
"Absalom, Absalom!",AA,15524,1850-01-01 , 1866-04-23
"Absalom, Absalom!",AA,15529,1909-09-06,1909-09-06
"Absalom, Absalom!",AA,15542,1909-09-06,1909-09-06
"Absalom, Absalom!",AA,15545,1909-09-06,1909-09-06
"Absalom, Absalom!",AA,15546,1848-01-01 , 1848-12-31
"Absalom, Absalom!",AA,15556,1855-01-01 , 1855-12-31
"Absalom, Absalom!",AA,15557,1909-09-06,1909-09-06
"Absalom, Absalom!",AA,15559,1833-06-01 , 1909-09-06
"Absalom, Absalom!",AA,15560,1833-06-01 , 1833-06-30
"Absalom, Absalom!",AA,15561,1833-07-01 , 1833-07-31
"Absalom, Absalom!",AA,15562,1833-06-01 , 1833-06-30
"Absalom, Absalom!",AA,15563,1835-01-01 , 1840-12-31
